frame_id,centor_x,centor_y,width,height,area,avg,std,max_gauss,min_gauss,strong_gauss,week_gauss,complexity,num_of_magnetic_neural_lines,total_length_of_magnetic_neural_lines,complexity_of_magnetic_neural_lines
0,70,125,30,30,900,-9.165111111,122.3794317,1146.625,-1188.2,15,885,0.276666667,4,39,0.158888889
0,80,304,36,30,1080,-8.428217593,79.4892554,973.75,-633.325,15,1065,0.305555556,7,75.5,0.176851852
0,167,357,25,26,650,-6.180038462,73.78122733,575.075,-835.35,5,645,0.307692308,6,24,0.175384615
0,298,109,45,32,1440,1.214774306,117.5804483,1174.475,-1311.425,23,1417,0.300694444,5,301,0.216666667
1,70,140,27,28,756,5.786937831,50.41768024,506.25,-180.725,10,746,0.293650794,4,53,0.236772487
1,93,122,31,31,961,-19.36867846,140.0374078,404.2,-1551.225,16,945,0.29760666,7,69,0.202913632
1,121,302,45,34,1530,-9.981470588,139.8196557,1163.825,-1276.775,35,1495,0.299346405,9,66,0.164052288
1,214,360,27,29,783,-9.007758621,66.51763038,436.575,-735.35,5,778,0.332056194,8,47,0.190293742
1,340,109,49,33,1617,1.325680272,102.5269712,1068.85,-1199.05,36,1581,0.306122449,12,66.5,0.173160173
2,98,136,27,25,675,7.446962963,72.27851013,626.225,-338.625,12,663,0.317037037,6,31,0.192592593
2,125,120,31,31,961,-29.41009365,174.7800557,350.3,-1634.4,16,945,0.247658689,6,50,0.192507804
2,171,301,54,33,1782,-3.702132435,146.4225501,1564.8,-1477.5,46,1736,0.30359147,9,59,0.161616162
2,181,352,32,32,1024,17.16682129,69.3445825,678.5,-266.4,33,991,0.286132813,10,45.5,0.206054688
2,264,362,30,26,780,-7.544070513,69.69464164,531.25,-634.825,5,775,0.307692308,6,31,0.18974359
2,377,111,52,34,1768,1.348076923,68.50314297,690.875,-806.425,24,1744,0.307126697,10,93,0.185520362
3,163,119,32,30,960,-37.60736979,201.4598304,611.6,-1633.3,13,947,0.275,5,44.5,0.142708333
3,223,301,54,34,1836,-8.977083333,187.2981798,1532.35,-1383.625,69,1767,0.274509804,14,84.5,0.173202614
3,225,352,29,27,783,25.55488506,73.42052646,606.6,-218.475,33,750,0.291187739,6,31,0.186462324
3,311,360,27,26,702,-8.178347578,80.53021158,392.225,-817,7,695,0.327635328,7,25.5,0.182336182
3,408,111,51,37,1887,1.933492316,53.4337858,471.95,-584.475,19,1868,0.31054584,13,220.5,0.178060413
4,190,121,1,1,1,8.35,0,8.35,8.35,0,1,0,0,0,0
4,191,125,1,1,1,-2.25,0,-2.25,-2.25,0,1,0,0,0,0
4,194,115,53,49,2597,-6.387832114,141.8152768,898.725,-1704.275,53,2544,0.299191375,20,123,0.210627647
4,277,302,56,39,2184,-7.590418956,147.6765334,1359.025,-1222.825,74,2110,0.274267399,12,77.5,0.145604396
5,186,150,26,26,676,18.3137574,52.61255557,524.85,-35.35,15,661,0.329881657,3,32,0.208579882
5,249,117,33,29,957,-49.76617032,207.2394267,279.325,-1794.675,6,951,0.289446186,5,64.5,0.177638454
5,326,356,24,25,600,26.83433333,70.66231758,663.65,-36.325,19,581,0.335,2,14,0.125
5,331,302,57,40,2280,-6.604692982,120.7384311,1093.4,-1115.65,61,2219,0.289912281,15,91.5,0.157894737
5,381,163,24,25,600,0.612333333,51.67967222,670.075,-609.7,5,595,0.338333333,5,21.5,0.196666667
6,145,335,36,34,1224,-0.951245915,65.32560711,950,-444.725,14,1210,0.31372549,9,43.5,0.14624183
6,278,180,30,29,870,-19.0162069,61.18331044,48.2,-681.725,0,870,0.326436782,7,57,0.175862069
6,286,120,47,34,1598,-22.82764393,156.8915637,560.175,-1665.325,17,1581,0.292866083,7,102,0.173341677
6,380,303,51,35,1785,-7.292464986,98.96768751,786,-843.225,31,1754,0.30140056,14,62,0.169747899
7,191,333,42,36,1512,1.196511243,99.9722018,957.85,-1029.425,28,1484,0.289021164,10,185,0.220899471
7,335,121,33,35,1155,-33.64619048,163.577558,434.55,-1435.075,9,1146,0.301298701,8,45.5,0.152380952
7,416,302,30,28,840,-16.84345238,91.83304328,469.925,-697.525,10,830,0.291666667,7,46,0.18452381
8,234,337,30,30,900,-10.39202778,86.10461953,833.4,-1024.575,9,891,0.304444444,3,16.5,0.086666667
8,345,303,24,26,624,5.7625,82.84913255,1139.125,-767.575,10,614,0.314102564,4,35,0.217948718
8,375,119,30,28,840,-33.3133631,152.4370005,470.4,-1189.675,8,832,0.248809524,10,34.5,0.173809524
8,383,182,25,25,625,-17.77196,50.67059023,86.175,-447.375,0,625,0.3056,8,36.5,0.1632
9,108,177,37,26,962,-3.076039501,65.79703528,737.2,-500,11,951,0.321205821,2,98,0.221413721
9,290,332,36,35,1260,-1.373333333,75.3012952,613.35,-686.325,20,1240,0.292857143,9,72,0.188888889
9,409,120,29,31,899,-20.42157953,122.3212893,342.8,-1090.55,9,890,0.292547275,7,50.5,0.206896552
10,159,175,26,28,728,-5.379773352,72.21952264,719.7,-544.175,8,720,0.325549451,5,40.5,0.196428571
10,342,337,42,36,1512,-1.753869048,60.94670234,425.175,-546.525,16,1496,0.323412698,6,64.5,0.172619048
10,435,122,29,30,870,-12.2429023,96.76607821,409.325,-1061.925,12,858,0.304597701,5,62.5,0.183908046
11,133,145,27,25,675,-13.51133333,95.82050635,829.1,-1069.5,7,668,0.30962963,6,57,0.2
11,453,125,27,29,783,-4.645721584,89.03763769,1162.475,-829.8,9,774,0.2899106,7,62.5,0.222222222
12,176,148,31,33,1023,-8.910483871,73.9014315,496.125,-971.625,14,1009,0.312805474,5,37,0.152492669
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,274,146,26,34,884,-8.912613122,61.14829552,628.5,-461.475,5,879,0.298642534,7,46,0.157239819
14,379,175,24,25,600,-11.33395833,62.21551156,742.05,-599,3,597,0.305,3,11,0.106666667
15,45,154,26,30,780,3.446282051,123.3139496,1127.95,-1420.2,19,761,0.298717949,6,45,0.2
16,62,145,38,37,1406,-2.07348862,109.3806942,1216.5,-1260.175,23,1383,0.309388336,6,69,0.193456615
17,89,141,50,39,1950,0.110461538,113.9300256,629.125,-1371.325,54,1896,0.284615385,16,100,0.211282051
17,376,352,28,27,756,0.861706349,91.74701062,1037.325,-822.125,13,743,0.325396825,8,35.5,0.203703704
18,111,136,32,37,1184,25.89700169,94.80771839,1010.2,-880.625,61,1123,0.278716216,6,103.5,0.206925676
18,140,143,30,29,870,-43.82824713,164.0165854,193.725,-1466.325,0,870,0.268965517,6,26.5,0.148275862
19,169,137,64,35,2240,-7.524151786,145.0269387,849.25,-1652,70,2170,0.280803571,14,137.5,0.175
20,209,133,84,41,3444,-1.322619048,122.0233025,879.6,-1646.675,91,3353,0.285423926,17,230,0.209639954
20,227,164,25,26,650,-7.729,91.11281917,771.675,-1172.05,6,644,0.321538462,5,31,0.229230769
21,238,129,48,37,1776,27.81362613,90.41543809,725.25,-599.325,87,1689,0.275337838,13,90,0.184121622
21,276,155,50,58,2900,-22.77767241,159.3908465,1219.05,-1700.1,58,2842,0.285172414,21,145,0.197931034
22,309,148,87,80,6960,-2.677395833,118.0562856,1088.825,-1542.7,158,6802,0.300287356,37,301,0.165948276
23,341,131,33,32,1056,31.28210227,96.69945861,644.25,-393.125,66,990,0.260416667,8,60.5,0.171401515
23,375,159,51,61,3111,-17.73273867,141.0774196,1143.6,-1293.775,57,3054,0.294117647,14,139.5,0.18547091
24,404,154,76,76,5776,-1.379644217,89.45311613,825.325,-1160.575,88,5688,0.302112188,31,381,0.197195291
25,452,165,45,62,2790,-9.131129032,93.626143,1206.675,-1162.5,28,2762,0.291756272,14,190.5,0.197849462
26,479,183,25,32,800,-12.8245,142.7153244,940.875,-2188.85,13,787,0.29625,5,22.5,0.1525
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,53,324,24,28,672,-2.001525298,69.83177392,592.425,-437.975,15,657,0.296130952,6,52.5,0.227678571
29,80,327,34,35,1190,-3.093928571,92.6947219,781.675,-822.25,24,1166,0.307563025,12,61.5,0.196638655
30,80,320,25,26,650,-2.539576923,50.38374578,342.7,-377.4,3,647,0.323076923,7,35.5,0.236923077
30,117,324,43,42,1806,-1.745874862,116.8914213,935.725,-880.525,52,1754,0.278516058,11,110,0.186600221
30,203,302,28,41,1148,-17.45361498,56.62788897,83.85,-557.625,0,1148,0.308362369,8,49.5,0.175087108
31,141,115,27,24,648,-22.24502315,55.28487271,82.575,-424.1,0,648,0.308641975,5,28,0.182098765
31,163,320,52,44,2288,-1.624399038,134.884563,1392.2,-1124.65,68,2220,0.27972028,13,150,0.195804196
32,176,111,41,30,1230,-14.37617886,60.68304985,297.275,-600.775,4,1226,0.31300813,13,49.5,0.204065041
